,file_name,smiles,pValue
26,72e4f4733af3ac20c42bb943989808d1d7a0c057,Clc1cccc(c1)C(=O)NCCN1CCCCC1,6.090191730465437
40,7d60a3693d573ab28de98db38c137038b1d6f252,O=C1N(Cc2ccccc12)C1CCCC1,5.051234980034355
78,c17eea431a9086ed1793ab79b6e8f7a4f3395910,Clc1ccc(NC(=O)c2ccc3[nH]ncc3c2)cc1,5.861566932766663
96,9658803c9f7c4bd65cff8e9e44d31547285764fe,Brc1cccc(Nc2nc3ccccc3[nH]2)c1,4.809411991116509
122,9ae9330e5b8f4e865841022b42603ee93e8249cc,Cc1ccccc1NC(=O)c1ccc(Nc2nccc(n2)-c2cccnc2)cc1,6.6256170884833745
152,4e47dc7db52f1be299f3e30e698e3d7cc83b85d2,NC(=O)c1cc(NC(=O)Cc2ccccc2)ccc1N1CCOCC1,6.140655857082655
193,24ab727927ea3f6bf947637de57d1ec12a4c66b2,Clc1ccc(NC(=O)CCNC(=O)c2cncc(Br)c2)cc1Cl,6.404240876036807
222,5d052a77013509eb545373948605dfa90711b008,Cc1ccccc1Nc1nccc(n1)-c1cccnc1,5.255187196274503
243,373431ee61deb7a96cb233d24755521df3d45441,Brc1ccc(Nc2nc3ccccc3[nH]2)cc1,4.872862218274005
449,4e73e794ff125c5a3ee79103ba3bbf42547d2df7,Cc1cc(NC(=O)CCNC(=O)c2ccc(Cl)c(Cl)c2)no1,6.62537376284054
